"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"a chemical reactions and equations";"may the best of all !";"4.058349"
"2";"martin h . fischer";"martin h . fisher";"59.460356"
"3";"";"";"100.000000"
"4";"consider the following situations of daily life and think what happens when milk is left at room temperature during summers .";"try these conditions in daily life and think what will happen if you leave the river , river , and river in the middle of the river .";"14.059391"
"5";"an iron pan is left exposed to humid atmosphere .";"a single horse is a sign of fear .";"5.073552"
"6";"";"";"100.000000"
"7";"grapes get fermented .";"she kept it in the drawer .";"6.567275"
"8";"food is cooked .";"food is coming";"45.782274"
"9";"";"";"100.000000"
"10";"food gets digested in our body .";"food will become a source of life in our body .";"24.808415"
"11";"";"";"100.000000"
"12";"we respire .";"we too will take the breath .";"7.809850"
"13";"";"";"100.000000"
"14";"in all the above situations , the nature and the identity of the initial substance have somewhat changed .";"in all the cases , the person who was born was killed by the death of the person who was born .";"10.062635"
"15";"we have already learnt about physical and chemical changes of matter in our previous classes .";"we now learn about the traditions of the past and the past .";"3.667300"
"16";"whenever a chemical change occurs , we can say that a chemical reaction has taken place .";"when the speech is not spoken , the mind tells that the speech has happened .";"3.249047"
"17";"";"";"100.000000"
"18";"you may perhaps be wondering as to what is actually meant by a chemical reaction .";"if you have a taste of the real thing , you can go to the hospital .";"3.234245"
"19";"how do we come to know that a chemical reaction has taken place ?";"we know how the red color has turned out .";"3.977815"
"20";"let us perform some activities to find the answer to these questions .";"to find the answer to this question , let ' s do some things .";"27.668737"
"21";"";"";"100.000000"
"22";"caution :";"jagratta";"30.934850"
"23";"this activity needs the teacher ' s assistance .";"this task requires help from the expert .";"6.413885"
"24";"it would be better if students wear suitable eyeglasses .";"it is better to keep the eyes wide open .";"5.522398"
"25";"clean magnesium ribbon about 3 - 4 cm long by rubbing it with sandpaper .";"from 3 to 4 , remove the magnesium ribbon that is lying in the centimeter and remove it with a piece of iron .";"5.118165"
"26";"";"";"100.000000"
"27";"hold it with a pair of tongs .";"catch him with a jet of fire .";"13.134549"
"28";"burn it using a spirit lamp or burner and collect the ash so formed in a watch - glass .";"use a spirit lamp or burner to burn it . then , burn any burn in the watch .";"23.153792"
"29";"burn the magnesium ribbon keeping it away as far as possible from your eyes .";"magnetium ribbon should be placed far away from your eyes and ears .";"12.185144"
"30";"";"";"100.000000"
"31";"burning of a magnesium ribbon in air and collection of magnesium oxide in a watch - glass .";"it helps to reduce magnesium ribbons in air and helps to reduce magnesium oxide in the body .";"14.447887"
"32";"";"";"100.000000"
"33";"take lead nitrate solution in a test tube .";"take the cesium nitrate in the test tube .";"21.105341"
"34";"add potassium iodide solution to this .";"mix potassium iodide and dravan .";"15.207218"
"35";"what do you observe ?";"you will understand what you are .";"7.809850"
"36";"";"";"100.000000"
"37";"formation of hydrogen gas by the action of dilute sulphuric acid on zinc .";"the sulphuric acid that is produced by zinc is called hydrogen .";"7.841795"
"38";"";"";"100.000000"
"39";"you must have observed that magnesium ribbon burns with a dazzling white flame and changes into a white powder .";"you must keep in mind that magnesium ribbons are a form of iron and iron powder .";"7.135806"
"40";"this powder is magnesium oxide .";"e . podi magnesium oxide";"19.357693"
"41";"it is formed due to the reaction between magnesium and oxygen present in the air .";"the magnesium in air is the main reason for this .";"3.869382"
"42";"";"";"100.000000"
"43";"take a few zinc granules in a conical flask or a test tube .";"if you don ' t have a bottle of sanha kara flask , take some jink granules from the test tube .";"7.946358"
"44";"";"";"100.000000"
"45";"add dilute hydrochloric acid or sulphuric acid to this .";"mix it with dhylute hydrochloric acid or sulfuric acid";"17.065327"
"46";"caution :";"jagratta";"30.934850"
"47";"handle the acid with care .";"be careful and do not let it fall .";"4.767707"
