"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"a chemical reactions and equations";"take a deep breath and take a deep breath .";"4.990050"
"2";"martin h . fischer";"martin hitch , fisher";"15.973578"
"3";"";"";"100.000000"
"4";"consider the following situations of daily life and think what happens when milk is left at room temperature during summers .";"the people who live in the same country";"1.087425"
"5";"an iron pan is left exposed to humid atmosphere .";"the same is called vata varanani , bhai raghatma .";"4.990050"
"6";"";"";"100.000000"
"7";"grapes get fermented .";"drakshapulay bhattindi";"18.393972"
"8";"food is cooked .";"i am going to meet you .";"6.567275"
"9";"";"";"100.000000"
"10";"food gets digested in our body .";"i will be your , jee namautundi .";"5.522398"
"11";"";"";"100.000000"
"12";"we respire .";"may the lord bless you .";"8.116698"
"13";"";"";"100.000000"
"14";"in all the above situations , the nature and the identity of the initial substance have somewhat changed .";"the lord has been given the power to the lord .";"2.561169"
"15";"we have already learnt about physical and chemical changes of matter in our previous classes .";"in the name of the name of the mother , we will be able to see the great news of the death of the lord .";"2.042946"
"16";"whenever a chemical change occurs , we can say that a chemical reaction has taken place .";"if you have any questions , please write in the comments section .";"2.700562"
"17";"";"";"100.000000"
"18";"you may perhaps be wondering as to what is actually meant by a chemical reaction .";"the indian culture of the west is a great country .";"3.130743"
"19";"how do we come to know that a chemical reaction has taken place ?";"the king of the kingdom is the king of the kingdom .";"1.433305"
"20";"let us perform some activities to find the answer to these questions .";"the government has been given the same responsibility as the government .";"3.705247"
"21";"";"";"100.000000"
"22";"caution :";"jagratha";"30.934850"
"23";"this activity needs the teacher ' s assistance .";"this is the end of this video .";"6.413885"
"24";"it would be better if students wear suitable eyeglasses .";"the video is done .";"3.929753"
"25";"clean magnesium ribbon about 3 - 4 cm long by rubbing it with sandpaper .";"the world is a world that is not only a centimeter , but also a dream t";"1.143478"
"26";"";"";"100.000000"
"27";"hold it with a pair of tongs .";"the same is not the same .";"5.693025"
"28";"burn it using a spirit lamp or burner and collect the ash so formed in a watch - glass .";"spirits will be held in the open fire of the spirit lamp .";"4.534087"
"29";"burn the magnesium ribbon keeping it away as far as possible from your eyes .";"make a shape with a shape of";"1.047173"
"30";"";"";"100.000000"
"31";"burning of a magnesium ribbon in air and collection of magnesium oxide in a watch - glass .";"the magnesium river is a famous city of magnesium , which is a famous city of magnesium .";"5.875148"
"32";"";"";"100.000000"
"33";"take lead nitrate solution in a test tube .";"test tube loss system nitrate dravananithi scoony .";"11.591199"
"34";"add potassium iodide solution to this .";"the dini kota shium ioddravana";"3.580238"
"35";"what do you observe ?";"i am the only one who has been here .";"2.098057"
"36";"";"";"100.000000"
"37";"formation of hydrogen gas by the action of dilute sulphuric acid on zinc .";"the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name";"0.209127"
"38";"";"";"100.000000"
"39";"you must have observed that magnesium ribbon burns with a dazzling white flame and changes into a white powder .";"the government has been given a lot of money to the government .";"2.144037"
"40";"this powder is magnesium oxide .";"e - pode magnitium arcsy";"4.372913"
"41";"it is formed due to the reaction between magnesium and oxygen present in the air .";"the gali has a new vision of the world , a new oxygen , and a new car will be created .";"2.582802"
"42";"";"";"100.000000"
"43";"take a few zinc granules in a conical flask or a test tube .";"the festival of santhakara , the festival of santhakara , will be held in the festival of the festival of santhakara .";"2.054027"
"44";"";"";"100.000000"
"45";"add dilute hydrochloric acid or sulphuric acid to this .";"the dynic diet hydrochloric acid is a healthy acid .";"9.980099"
"46";"caution :";"jagratha";"30.934850"
"47";"handle the acid with care .";"this is the end of the year .";"6.567275"
